time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-12-13T11:08:55.961Z,2.0407,96.7775,29.597,4.5,mb,24,182,2.24,0.81,us,us7000lk2p,2024-02-17T22:43:13.040Z,"65 km SE of Sinabang, Indonesia",earthquake,8.62,5.107,0.151,13,reviewed,us,us
2023-12-11T10:16:39.909Z,-0.4441,101.3587,255.387,5,mb,104,39,3.335,0.8,us,us7000li28,2024-02-17T22:43:06.040Z,"51 km ENE of Sijunjung, Indonesia",earthquake,7.94,4.935,0.043,172,reviewed,us,us
2023-12-08T09:03:41.352Z,-2.6009,99.9941,35.243,4.6,mb,34,74,3.434,0.36,us,us7000liwj,2024-02-10T23:47:42.040Z,"77 km SE of Tuapejat, Indonesia",earthquake,9.34,7.512,0.122,20,reviewed,us,us
2023-12-06T13:20:59.785Z,-2.9481,102.9623,237.734,4.3,mb,18,143,1.403,0.35,us,us7000liep,2024-02-10T23:47:38.040Z,"39 km NNE of Lubuklinggau, Indonesia",earthquake,9.44,5.304,0.153,12,reviewed,us,us
2023-12-02T13:42:04.550Z,-3.4668,102.0368,116.82,4.8,mb,57,99,1.276,1.01,us,us7000lfeq,2024-02-06T21:53:58.040Z,"44 km NW of Bengkulu, Indonesia",earthquake,8.64,3.673,0.077,52,reviewed,us,us
2023-12-01T23:10:35.063Z,1.2747,97.1712,29.552,4,mb,16,190,2.248,0.39,us,us7000lgpz,2024-02-06T21:54:00.040Z,"49 km W of Gunungsitoli, Indonesia",earthquake,13.18,8.615,0.258,4,reviewed,us,us
2023-11-18T10:01:33.920Z,-2.9945,100.0625,23.026,4.9,mb,51,181,3.19,0.63,us,us6000lpaw,2024-01-26T16:37:52.040Z,"119 km SSE of Tuapejat, Indonesia",earthquake,7.28,5.24,0.079,54,reviewed,us,us
2023-11-15T05:11:04.546Z,-3.5315,101.4988,56.133,4.8,mb,72,70,1.671,0.55,us,us6000lnhf,2024-01-26T16:37:42.040Z,"90 km WNW of Bengkulu, Indonesia",earthquake,7.2,5.511,0.078,51,reviewed,us,us
2023-11-12T17:23:32.715Z,2.3163,98.9944,149.632,4.2,mb,20,162,0.382,0.5,us,us6000lnwa,2024-01-26T16:37:46.040Z,"38 km S of Parapat, Indonesia",earthquake,12.77,4.878,0.186,8,reviewed,us,us
2023-11-11T20:13:02.825Z,-3.4734,101.5887,56.319,4.4,mb,31,130,1.624,0.53,us,us6000lnun,2024-01-13T23:09:50.040Z,"83 km WNW of Bengkulu, Indonesia",earthquake,12.33,8.104,0.134,16,reviewed,us,us
2023-11-10T23:48:22.283Z,-2.3504,100.9821,79.567,4.3,mb,26,103,2.806,0.44,us,us6000lnll,2024-01-13T23:09:45.040Z,"55 km SW of Sungai Penuh, Indonesia",earthquake,10.05,3.223,0.178,9,reviewed,us,us
2023-11-10T22:56:49.829Z,0.2929,97.6456,10,4.4,mb,18,183,2.705,0.18,us,us6000lnlh,2024-01-13T23:09:44.040Z,"35 km SSW of Teluk Dalam, Indonesia",earthquake,13.25,1.764,0.219,6,reviewed,us,us
2023-11-07T03:30:11.981Z,0.7822,97.1517,10,3.9,mb,13,192,0.669,0.79,us,us7000la41,2024-01-13T23:11:13.040Z,"76 km SW of Gunungsitoli, Indonesia",earthquake,5.56,1.93,0.193,7,reviewed,us,us
2023-11-04T00:56:53.364Z,1.8004,97.7446,48.064,4.5,mb,34,171,1.475,0.3,us,us7000l9v1,2024-01-10T06:01:53.040Z,"54 km S of Singkil, Indonesia",earthquake,9.37,7.035,0.15,13,reviewed,us,us
2023-10-30T19:15:08.582Z,-3.72,99.4865,10,4.4,mb,64,70,3.519,0.83,us,us7000l7le,2024-01-10T06:01:18.040Z,"187 km S of Tuapejat, Indonesia",earthquake,9.46,1.825,0.092,34,reviewed,us,us
2023-10-22T14:23:06.652Z,0.4566,98.343,36.191,4.7,mb,35,88,1.139,0.9,us,us6000lhba,2024-01-04T04:21:52.040Z,"61 km ESE of Teluk Dalam, Indonesia",earthquake,7.02,5.436,0.102,29,reviewed,us,us
